cap-shape,cap-surface,bruises,odor,gill-size,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,spore-print-color
x,s,t,p,n,e,s,s,w,k
x,s,t,a,b,c,s,s,w,n
b,s,t,l,b,c,s,s,w,n
x,y,t,p,n,e,s,s,w,k
x,s,f,n,b,e,s,s,w,n
x,y,t,a,b,c,s,s,w,k
b,s,t,a,b,c,s,s,w,k
b,y,t,l,b,c,s,s,w,n
x,y,t,p,n,e,s,s,w,k
b,s,t,a,b,c,s,s,w,k
x,y,t,l,b,c,s,s,w,n
x,y,t,a,b,c,s,s,w,k
b,s,t,a,b,c,s,s,w,n
x,y,t,p,n,e,s,s,w,n
x,f,f,n,b,e,s,f,w,k
s,f,f,n,n,e,s,s,w,n
f,f,f,n,b,e,s,s,w,n
x,s,t,p,n,e,s,s,w,k
x,y,t,p,n,e,s,s,w,n
x,s,t,p,n,e,s,s,w,n
b,s,t,a,b,c,s,s,w,n
x,y,t,p,n,e,s,s,w,n
b,y,t,l,b,c,s,s,w,n
b,y,t,a,b,c,s,s,w,n
b,s,t,l,b,c,s,s,w,k
f,s,t,p,n,e,s,s,w,n
x,y,t,a,b,c,s,s,w,n
x,y,t,l,b,c,s,s,w,n
f,f,f,n,n,e,s,s,w,k
x,s,t,a,n,b,s,s,w,n
b,s,t,l,b,c,s,s,w,n
x,y,t,p,n,e,s,s,w,n
x,y,t,l,b,c,s,s,w,n
x,y,t,l,b,r,s,y,w,n
b,y,t,l,b,c,s,s,w,n
x,f,t,l,n,b,s,s,w,n
s,f,f,n,n,e,s,s,w,k
x,y,t,p,n,e,s,s,w,n
x,f,t,a,n,b,s,s,w,n
b,s,t,l,b,c,s,s,w,k
b,y,t,a,b,c,s,s,w,n
x,y,t,l,b,r,s,y,w,k
x,f,f,n,n,e,s,s,w,k
x,y,t,p,n,e,s,s,w,n
x,s,t,a,b,c,s,s,w,k
x,y,t,a,b,c,s,s,w,n
x,y,t,l,b,c,s,s,w,k
x,s,t,l,b,c,s,s,w,n
x,y,t,l,b,r,s,y,w,n
f,y,t,l,b,r,s,y,w,k
x,y,t,a,b,r,s,y,w,k
x,s,t,l,b,c,s,s,w,k
b,s,t,l,b,c,s,s,w,n
x,y,t,p,n,e,s,s,w,n
x,s,t,p,n,e,s,s,w,k
b,y,t,a,b,c,s,s,w,k
f,f,f,n,b,e,s,s,w,n
b,s,t,a,b,c,s,s,w,n
x,s,t,l,b,c,s,s,w,k
x,y,t,a,b,r,s,y,w,k
s,f,f,n,n,e,s,s,w,n
b,y,t,a,b,c,s,s,w,n
b,s,t,l,b,c,s,s,w,n
b,y,t,l,b,c,s,s,w,n
b,y,t,l,b,c,s,s,w,n
f,s,f,n,b,e,s,s,w,k
x,s,t,l,b,c,s,s,w,k
f,y,t,a,b,r,s,y,w,n
x,y,t,a,b,c,s,s,w,k
x,f,f,n,n,e,s,s,w,n
f,f,t,l,n,b,s,s,w,n
b,y,t,l,b,c,s,s,w,n
f,f,t,l,n,b,s,s,w,n
x,y,t,a,b,r,s,y,w,k
b,s,t,a,b,c,s,s,w,k
f,s,t,l,n,b,s,s,w,n
x,s,t,l,n,b,s,s,w,u
f,y,t,l,b,r,s,y,w,n
x,y,t,p,n,e,s,s,w,n
f,y,t,a,b,r,s,y,w,n
x,s,f,n,b,e,f,s,w,n
x,y,t,p,n,e,s,s,w,k
f,f,f,n,n,e,s,s,w,n
x,f,f,n,b,e,s,s,w,n
x,y,t,l,b,r,s,y,w,k
x,s,f,n,b,e,s,s,w,k
b,s,t,a,b,c,s,s,w,k
x,s,t,l,b,c,s,s,w,n
f,y,t,l,b,r,s,y,w,k
s,f,f,n,n,e,s,s,w,n
x,f,f,n,n,e,s,s,w,n
b,s,t,l,b,c,s,s,w,k
x,y,t,a,b,c,s,s,w,k
x,y,t,l,b,c,s,s,w,k
x,s,f,n,b,e,s,s,w,n
x,s,t,a,b,c,s,s,w,n
f,y,t,l,b,r,s,y,w,n
x,s,t,a,b,c,s,s,w,k
b,s,t,a,b,c,s,s,w,n
x,y,t,a,b,c,s,s,w,k
x,f,f,n,b,e,f,s,w,k
b,s,t,l,b,c,s,s,w,k
f,y,t,l,b,r,s,y,w,n
x,y,t,a,b,r,s,y,w,k
b,y,t,l,b,c,s,s,w,n
x,y,t,a,b,c,s,s,w,k
